,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,The Avengers,Iron Man Three,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame
Tony Stark,0.48339945308047527,0.003519898930197635,0.3894597848573513,,,0.17505958875220687,0.37754977448212174,,,,0.15237917070869764,,0.19979616784740864,,,,,,0.08995822232344024,,,0.15137510095391377
Pepper Potts,0.21130417519876835,,0.1616114139137302,,,0.036035631953590996,0.15855678059580036,,,,,,,,,0.006457512994189864,,,0.01152817756009734,,,0.02688846570877216
Obadiah Stane,0.5397058251895472,,,,,,,,,,,,,,,,,,,,,
James Rhodes,0.06623577397894809,,0.1529638475320282,,,,0.07587006837588599,,,,0.017936186377278014,,0.049891881698428425,,,,,,0.01867048662493839,,0.0020560994139806506,0.05169783664655215
Phil Coulson,0.04409537324179213,,,,,,,,,,,,,,,,,,,,0.03312530477676092,
Happy,0.014698457747264042,,0.050780800797805774,,,,0.07123098754443344,,,,,,,,,,,,,,,0.006139245335321335
Nick Fury,0.0015643995245322821,,0.03497189904841522,0.00514211321976698,0.0031792635498559285,0.10062480298355199,,,0.08986094915916315,,,,,,,,,,,,0.14423000494468358,0.0010890295032655666
Bruce Banner,,0.4674138141014405,,,,0.15386237642662196,0.0058361591058373845,,,,0.1434894910182241,,,,,,0.13423165943425983,,0.06449804470433261,,0.0020560994139806506,0.11177910626281545
Ivan Vanko,,,0.5172510557031053,,,,,,,,,,,,,,,,,,,
Black Widow,,,0.06667593026777736,,,0.15469924777305516,,,0.16266170905549182,,0.11410440970494848,,0.06992452771601436,,,,0.001718880530811724,,,,0.0036334060000898236,0.07901152495222952
Howard Stark,,,,,,,,,,,,,0.01763814929671685,,,,,,,,,
Peter Parker,,,,,,,,,,,,,0.08567101086976757,,,0.8494161371839958,,,0.07209149611879573,,,
Thor,,,,0.3804499080877761,,0.1273343804909975,,0.31612528489952496,,,0.09506178779957346,,,0.006597397250077042,,,0.4571657966239284,,0.10353633492011288,,,0.11876530040424142
Loki,,,,0.24008489924146123,,0.19534674236923502,,0.20301296627035326,,,,,,,,,0.13492554065968096,,0.03270007510394952,,,
Jane Foster,,,,0.3638350735521246,,,,0.44473887604692103,,,,,,,,,,,,,,0.002751975365594207
Erik Selvig,,,,0.20382857624589867,,,,0.09893627321026575,,,,,,,,,,,,,,
Odin,,,,0.19491164654578103,,,,,,,,,,,,,0.05747394705837133,,,,,
Heimdall,,,,0.05475495042546014,,,,0.05622160088328496,,,0.005253916811787998,,,,,,0.05128631103199208,,0.007457740977806454,,,
Frigga,,,,,,,,,,,,,,,,,,,,,,0.03027172902153628
Hawkeye,,,,0.006441758873583546,,0.13210110417331294,,,,,0.15761750435363994,,0.042835505434883785,,,,,,,,,0.14734188804771203
Steve Rogers,,,,,0.3592567811337199,0.15576168133070376,,,0.34205135486391136,,0.12162374175831829,0.0016847379494963042,0.20515982336009075,,,,,,0.03836453599087892,,0.003205111220992969,0.1339506289016647
Peggy Carter,,,,,0.20611030912050576,,,,0.024511839831466802,,0.002626958405893999,0.009497465005924459,,,,,,,,,,
Red Skull,,,,,0.24905377058627576,,,,,,,,,,,,,,0.02340102542421383,,,
Arnim Zola,,,,,0.1595373871015045,,,,0.039671061498502455,,,,,,,,,,,,,
Bucky,,,,,,,,,0.11156619876481459,,,0.002446863898083339,0.17138034486167386,,,,,0.0064093225987108355,,,,0.014235070081114673
Maria Hill,,,,,,0.056984790035546753,,,0.035405990867674264,,,,,,,,,,0.007457740977806454,,,0.0020464151117737784
Thanos,,,,,,0.0025902177288884888,,,,,0.002626958405893999,,,,,,,,0.30825329374933347,,,0.10027434047691514
Maya Hansen,,,,,,,0.2080509343606559,,,,,,,,,,,,,,,
Mandarin,,,,,,,0.17832937230913362,,,,,,,,,,,,,,,
The Collector,,,,,,,,0.02223694380234605,,0.0411659124935993,,,,,,,,,0.01002901089609164,,,
Falcon,,,,,,,,,0.13613810679306043,,0.006911079702820537,0.030538702618446302,0.09059626249887873,,,,,,0.023980055076229648,,,0.03230261562754792
Alexander Pierce,,,,,,,,,0.22480268182484725,,,,,,,,,,,,,0.00993603013590485
Rumlow,,,,,,,,,0.09156388624495433,,,,0.030496380071788867,,,,,,,,,0.008255926096782622
Sharon Carter,,,,,,,,,0.04407895722055829,,,,,,,,,,,,,
Scarlett Witch,,,,,,,,,0.0027235377590518668,,0.12609400348291197,,0.1083486313941178,,,,,,,,,0.018417736005964004
Quicksilver,,,,,,,,,0.0044078957220558285,,0.17006349452470715,,,,,,,,,,,
Star Lord,,,,,,,,,,0.6586526720012097,,,,,0.44812311983473313,,,,0.11727293923116684,,,
Gamora,,,,,,,,,,0.4367536434660428,,,,,0.30083789863031035,,,,0.22882524728032555,,,0.0447378642990747
Rocket,,,,,,,,,,0.2747321305673495,,,,,0.24756452074785956,,,,0.07150788977510174,,,0.07770260641418238
Drax,,,,,,,,,,0.2535988897544765,,,,,0.20682605530833836,,,,0.06578725859309359,,,
Groot,,,,,,,,,,0.01056662040643652,,,,,0.17548877420101436,,,,,,,
Ronan,,,,,,,,,,0.1535842013569204,,,,,,,,,,,0.02924262527802891,
Yondu,,,,,,,,,,,,,,,0.2865132219336289,,,,,,,
Nebula,,,,,,,,,,0.06339972243861912,,,,,0.1316165806507608,,,,0.0371841026830529,,,0.1506959639547779
Ultron,,,,,,,,,,,0.37267887735525795,,,,,,,,,,,
Vision,,,,,,,,,,,0.08831693992421126,,0.09826611356465302,,,,,,0.1337201452812219,,,
Scott Lang,,,,,,,,,,,,0.735810074000346,0.06378309188647169,,,,,,,0.6139982535604498,,0.12479509515005045
Hank Pym,,,,,,,,,,,,0.42147561176138976,,,,,,,,0.40101878314739314,,0.005503950731188414
Hope van Dyne,,,,,,,,,,,,0.2682117529390662,,,,,,,,0.5909750488487899,,0.013759876827971036
Cassie,,,,,,,,,,,,0.07663192941116177,,,,,,,,,,
Zemo,,,,,,,,,,,,,0.22078874666845114,,,,,,,,,
T'Chaka,,,,,,,,,,,,,0.024468319110187455,,,,,,,,,
Everett Ross,,,,,,,,,,,,,0.026284374603387044,,,,,,,,,
Aunt May,,,,,,,,,,,,,,,,,,,,,,0.002751975365594207
Doctor Strange,,,,,,,,,,,,,,1.0895563893871674,,,,,0.12871420159518313,,,0.011773122183967024
The Ancient One,,,,,,,,,,,,,,0.35968429091975557,,,,,,,,0.046368140634222635
Wong,,,,,,,,,,,,,,,,,,,0.04680205084842766,,,0.008255926096782622
Ego,,,,,,,,,,,,,,,0.3863803066697895,,,,,,,
Mantis,,,,,,,,,,,,,,,0.16115243979111962,,,,0.07688908353670258,,,0.008255926096782622
Vulture,,,,,,,,,,,,,,,,0.44157749333690227,,,,,,
Valkyrie,,,,,,,,,,,,,,,,,0.262846212595206,,,,,0.029808090407714552
Hela,,,,,,,,,,,,,,,,,0.2972156205152227,,,,,
The Grandmaster,,,,,,,,,,,,,,,,,0.130774873026698,,,,,
Korg,,,,,,,,,,,,,,,,,0.05994738181995927,,,,,
Miek,,,,,,,,,,,,,,,,,0.02766802237844274,,,,,0.006624020090603234
Black Panther,,,,,,,,,,,,,,,,,,0.713706327650223,0.04680205084842766,,,0.01926382755915945
Killmonger,,,,,,,,,,,,,,,,,,0.5132514521434518,,,,
Nakia,,,,,,,,,,,,,,,,,,0.3863803066697895,,,,
Shuri,,,,,,,,,,,,,,,,,,0.21559878647767153,0.01002901089609164,,,0.013759876827971036
Okoye,,,,,,,,,,,,,,,,,,0.1895782432820905,0.03677303995233602,,,0.01926382755915945
M'Baku,,,,,,,,,,,,,,,,,,0.0854960704997663,,,,0.002751975365594207
Captain Marvel,,,,,,,,,,,,,,,,,,,,,1.267180428714586,
Talos,,,,,,,,,,,,,,,,,,,,,0.34554336368842964,
